x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3
0.0579601,-0.0337388,4.83963,0,0,5,0,0,0,0
0.0579601,-0.0337388,4.83963,0,0,5,0,0,0,0
0.0579601,-0.0337388,4.83963,0,0,5,0,0,0,0
0.0581392,-0.0254362,4.84094,0,0,5,0,0,0,0
0.0581392,-0.0254362,4.84094,0,0,5,0,0,0,0
0.0585256,-0.0131695,4.84301,0,0,5,0,0,0,0
0.0585256,-0.0131695,4.84301,0,0,5,0,0,0,0
0.0588123,-0.00514113,4.84443,0,0,5,0,0,0,0
0.0588123,-0.00514113,4.84443,0,0,5,0,0,0,0
0.0592847,0.00664345,4.84663,0,0,5,0,0,0,0
0.0592847,0.00664345,4.84663,0,0,5,0,0,0,0
0.0592847,0.00664345,4.84663,0,0,5,0,0,0,0
0.0596879,0.0142904,4.84815,0,0,5,0,0,0,0
0.0596879,0.0142904,4.84815,0,0,5,0,0,0,0
0.0602492,0.0254569,4.85038,0,0,5,0,0,0,0
0.0602492,0.0254569,4.85038,0,0,5,0,0,0,0
0.0607393,0.0325834,4.85187,0,0,5,0,0,0,0
0.0607393,0.0325834,4.85187,0,0,5,0,0,0,0
0.0614907,0.0428761,4.85409,0,0,5,0,0,0,0
0.0614907,0.0428761,4.85409,0,0,5,0,0,0,0
0.0623117,0.0526295,4.85626,0,0,5,0,0,0,0
0.0623117,0.0526295,4.85626,0,0,5,0,0,0,0
0.0629399,0.0587173,4.85769,0,0,5,0,0,0,0
0.0629399,0.0587173,4.85769,0,0,5,0,0,0,0
0.0629399,0.0587173,4.85769,0,0,5,0,0,0,0
0.0635404,0.0645989,4.85907,0,0,5,0,0,0,0
0.0635404,0.0645989,4.85907,0,0,5,0,0,0,0
0.0645739,0.0727947,4.86105,0,0,5,0,0,0,0
0.0645739,0.0727947,4.86105,0,0,5,0,0,0,0
0.0656176,0.0803415,4.86285,0,0,5,0,0,0,0
0.0656176,0.0803415,4.86285,0,0,5,0,0,0,0
0.0656176,0.0803415,4.86285,0,0,5,0,0,0,0
0.0662941,0.0850503,4.86391,0,0,5,0,0,0,0
0.0662941,0.0850503,4.86391,0,0,5,0,0,0,0
0.0670448,0.0893828,4.86483,0,0,5,0,0,0,0
0.0670448,0.0893828,4.86483,0,0,5,0,0,0,0
