x,y,z,gx,gy,gz
0.417,0.391629,0.0927515,0.243956,0.481415,4.08132
0.410371,0.394333,0.0928183,0.245815,0.484984,4.08194
0.403814,0.396807,0.0928612,0.247675,0.48855,4.08256
0.39732,0.399061,0.0928762,0.249534,0.492113,4.08318
0.39088,0.401108,0.0928597,0.251392,0.495673,4.0838
0.384484,0.402961,0.0928088,0.25325,0.499229,4.08442
0.378123,0.40463,0.0927218,0.255108,0.502783,4.08504
0.371787,0.406128,0.0925971,0.256965,0.506333,4.08566
0.365466,0.407466,0.0924334,0.258822,0.50988,4.08627
0.359149,0.408654,0.0922302,0.260679,0.513424,4.08689
0.352829,0.409702,0.0919873,0.262535,0.516964,4.08751
0.346496,0.41062,0.0917051,0.26439,0.520502,4.08813
0.340141,0.411415,0.0913842,0.266245,0.524036,4.08875
0.333758,0.412095,0.091026,0.2681,0.527566,4.08937
0.327337,0.412667,0.0906315,0.269955,0.531094,4.08998
0.320874,0.413135,0.0902021,0.271809,0.534618,4.0906
0.314362,0.413505,0.0897388,0.273662,0.538138,4.09122
0.307797,0.413779,0.0892433,0.275515,0.541656,4.09184
0.301174,0.41396,0.0887175,0.277368,0.54517,4.09246
0.294492,0.414049,0.088163,0.27922,0.54868,4.09307
0.287747,0.414048,0.0875814,0.281072,0.552187,4.09369
0.280939,0.413955,0.0869742,0.282923,0.55569,4.09431
0.274069,0.413769,0.0863431,0.284774,0.55919,4.09492
0.267136,0.413489,0.0856902,0.286625,0.562687,4.09554
0.260142,0.413112,0.0850175,0.288475,0.566179,4.09616
0.253091,0.412634,0.0843262,0.290324,0.569669,4.09677
0.245986,0.412051,0.0836178,0.292173,0.573154,4.09739
0.238831,0.411361,0.0828939,0.294022,0.576636,4.09801
0.231631,0.410556,0.0821562,0.29587,0.580115,4.09862
0.224392,0.409634,0.0814066,0.297718,0.583589,4.09924
0.21712,0.408589,0.0806466,0.299565,0.587061,4.09985
0.209823,0.407415,0.0798771,0.301412,0.590528,4.10047
0.202507,0.406108,0.0790999,0.303258,0.593991,4.10109
0.19518,0.404662,0.0783167,0.305104,0.597451,4.1017
0.187851,0.403072,0.077529,0.306949,0.600907,4.10232
0.180526,0.401334,0.0767383,0.308794,0.60436,4.10293
0.173216,0.399444,0.0759462,0.310638,0.607808,4.10355
0.165927,0.397397,0.0751544,0.312482,0.611253,4.10416
0.158668,0.395191,0.0743648,0.314325,0.614694,4.10478
0.151447,0.392823,0.0735789,0.316168,0.61813,4.10539
0.144272,0.39029,0.0727981,0.318011,0.621563,4.106
0.137151,0.38759,0.0720235,0.319853,0.624992,4.10662
0.13009,0.384724,0.0712554,0.321694,0.628418,4.10723
0.123096,0.38169,0.0704947,0.323535,0.631839,4.10784
0.116175,0.378488,0.0697419,0.325375,0.635256,4.10846
0.109333,0.375121,0.0689968,0.327215,0.638669,4.10907
0.102576,0.37159,0.0682591,0.329054,0.642078,4.10968
0.0959062,0.367897,0.0675284,0.330893,0.645483,4.1103
0.0893287,0.364046,0.0668038,0.332731,0.648884,4.11091
0.0828462,0.360041,0.0660845,0.334569,0.652281,4.11152
0.0764607,0.355886,0.0653694,0.336406,0.655674,4.11214
0.0701738,0.351588,0.0646573,0.338243,0.659062,4.11275
0.0639862,0.347151,0.0639468,0.340079,0.662447,4.11336
0.0578977,0.342583,0.0632368,0.341915,0.665827,4.11397
0.0519075,0.337892,0.0625262,0.34375,0.669203,4.11458
0.0460141,0.333084,0.0618138,0.345584,0.672575,4.11519
0.0402151,0.328167,0.0610984,0.347418,0.675942,4.11581
0.0345078,0.323151,0.0603786,0.349252,0.679306,4.11642
0.0288887,0.318044,0.0596529,0.351084,0.682665,4.11703
0.023354,0.312854,0.0589196,0.352917,0.686019,4.11764
0.0178991,0.30759,0.0581775,0.354748,0.68937,4.11825
0.0125193,0.302262,0.0574259,0.35658,0.692716,4.11886
0.00720918,0.296879,0.0566643,0.35841,0.696057,4.11947
0.00196322,0.291449,0.0558929,0.36024,0.699395,4.12008
-0.00322428,0.28598,0.055111,0.36207,0.702728,4.12069
-0.00835914,0.280483,0.0543179,0.363899,0.706056,4.1213
-0.0134473,0.274963,0.0535135,0.365727,0.70938,4.12191
-0.0184947,0.26943,0.0526982,0.367555,0.712699,4.12252
-0.0235071,0.263891,0.0518723,0.369382,0.716014,4.12313
