x,y,z,gx,gy,gz
0.406348,0.789647,4.13097,0.411241,0.790968,4.13708
0.408215,0.793061,4.13213,0.413053,0.794168,4.13768
0.410085,0.796459,4.13325,0.414865,0.797364,4.13829
0.411956,0.79984,4.13435,0.416676,0.800555,4.13889
0.41383,0.803206,4.13542,0.418487,0.80374,4.1395
0.415705,0.806557,4.13646,0.420296,0.806921,4.1401
0.417581,0.809892,4.13748,0.422106,0.810096,4.1407
0.419458,0.813214,4.13847,0.423914,0.813266,4.1413
0.421337,0.816521,4.13944,0.425722,0.816432,4.14191
0.423216,0.819815,4.14038,0.427529,0.819592,4.14251
0.425096,0.823095,4.14131,0.429335,0.822746,4.14311
0.426976,0.826363,4.14222,0.431141,0.825896,4.14371
0.428856,0.829618,4.1431,0.432946,0.82904,4.14432
0.430737,0.832862,4.14397,0.434751,0.83218,4.14492
0.432617,0.836093,4.14482,0.436554,0.835313,4.14552
0.434498,0.839313,4.14565,0.438357,0.838442,4.14612
0.436378,0.842522,4.14646,0.44016,0.841565,4.14672
0.438257,0.84572,4.14727,0.441961,0.844683,4.14732
0.440136,0.848907,4.14805,0.443762,0.847796,4.14792
0.442015,0.852085,4.14882,0.445562,0.850903,4.14852
0.443893,0.855252,4.14958,0.447362,0.854005,4.14912
0.445769,0.858409,4.15033,0.449161,0.857102,4.14972
0.447645,0.861558,4.15106,0.450959,0.860193,4.15032
0.44952,0.864696,4.15179,0.452756,0.863279,4.15092
0.451394,0.867826,4.1525,0.454553,0.866359,4.15152
0.453266,0.870947,4.15321,0.456349,0.869434,4.15212
0.455138,0.874059,4.1539,0.458144,0.872503,4.15271
0.457008,0.877163,4.15458,0.459939,0.875567,4.15331
0.458877,0.880259,4.15526,0.461732,0.878625,4.15391
0.460744,0.883346,4.15593,0.463525,0.881678,4.15451
0.46261,0.886426,4.15659,0.465318,0.884725,4.15511
0.464474,0.889497,4.15724,0.467109,0.887767,4.1557
0.466337,0.892561,4.15789,0.4689,0.890802,4.1563
0.468198,0.895618,4.15853,0.47069,0.893833,4.1569
0.470057,0.898667,4.15917,0.47248,0.896857,4.15749
0.471915,0.901709,4.1598,0.474268,0.899876,4.15809
0.473771,0.904743,4.16042,0.476056,0.90289,4.15869
0.475626,0.907771,4.16105,0.477843,0.905897,4.15928
0.477478,0.910792,4.16166,0.47963,0.908899,4.15988
0.479329,0.913805,4.16227,0.481415,0.911895,4.16047
0.481179,0.916812,4.16288,0.4832,0.914886,4.16107
0.483026,0.919812,4.16349,0.484984,0.91787,4.16166
0.484872,0.922806,4.16409,0.486768,0.920849,4.16226
0.486715,0.925793,4.16469,0.48855,0.923822,4.16285
0.488557,0.928773,4.16528,0.490332,0.926789,4.16344
0.490398,0.931747,4.16587,0.492113,0.929751,4.16404
0.492236,0.934714,4.16647,0.493893,0.932706,4.16463
0.494072,0.937675,4.16705,0.495673,0.935656,4.16522
0.495907,0.94063,4.16764,0.497451,0.938599,4.16582
0.49774,0.943578,4.16822,0.499229,0.941537,4.16641
0.499571,0.94652,4.16881,0.501006,0.944469,4.167
0.5014,0.949455,4.16939,0.502783,0.947395,4.16759
0.503228,0.952385,4.16997,0.504558,0.950314,4.16819
0.505053,0.955308,4.17055,0.506333,0.953228,4.16878
0.506877,0.958225,4.17113,0.508107,0.956136,4.16937
0.508699,0.961135,4.1717,0.50988,0.959038,4.16996
0.510519,0.96404,4.17228,0.511652,0.961933,4.17055
0.512338,0.966938,4.17285,0.513424,0.964823,4.17114
0.514154,0.96983,4.17343,0.515195,0.967707,4.17173
0.515969,0.972716,4.174,0.516964,0.970584,4.17232
0.517782,0.975596,4.17457,0.518733,0.973455,4.17291
0.519594,0.97847,4.17515,0.520502,0.97632,4.1735
0.521403,0.981337,4.17572,0.522269,0.979179,4.17409
0.523211,0.984198,4.17629,0.524036,0.982032,4.17468
0.525017,0.987053,4.17686,0.525801,0.984879,4.17527
0.526822,0.989902,4.17743,0.527566,0.987719,4.17586
0.528625,0.992745,4.178,0.529331,0.990553,4.17644
0.530426,0.995581,4.17858,0.531094,0.993381,4.17703
0.532225,0.998411,4.17915,0.532856,0.996203,4.17762
0.534023,1.00123,4.17972,0.534618,0.999018,4.17821
0.535819,1.00405,4.18029,0.536379,1.00183,4.17879
0.537614,1.00686,4.18086,0.538138,1.00463,4.17938
0.539407,1.00967,4.18143,0.539898,1.00743,4.17997
0.541198,1.01247,4.182,0.541656,1.01022,4.18055
0.542988,1.01526,4.18257,0.543413,1.013,4.18114
0.544776,1.01805,4.18314,0.54517,1.01578,4.18172
0.546562,1.02083,4.18371,0.546925,1.01855,4.18231
0.548347,1.0236,4.18428,0.54868,1.02131,4.18289
0.550131,1.02637,4.18485,0.550434,1.02407,4.18348
0.551913,1.02913,4.18543,0.552187,1.02682,4.18406
0.553693,1.03188,4.186,0.553939,1.02957,4.18465
0.555472,1.03463,4.18657,0.55569,1.0323,4.18523
0.557249,1.03737,4.18714,0.557441,1.03504,4.18581
0.559025,1.0401,4.18771,0.55919,1.03776,4.1864
0.5608,1.04283,4.18828,0.560939,1.04048,4.18698
0.562573,1.04555,4.18886,0.562687,1.04319,4.18756
0.564344,1.04827,4.18943,0.564433,1.0459,4.18814
0.566114,1.05098,4.19,0.566179,1.0486,4.18873
0.567883,1.05368,4.19057,0.567924,1.05129,4.18931
0.56965,1.05637,4.19114,0.569669,1.05397,4.18989
0.571416,1.05906,4.19172,0.571412,1.05665,4.19047
0.57318,1.06175,4.19229,0.573154,1.05933,4.19105
0.574943,1.06442,4.19286,0.574896,1.06199,4.19163
0.576705,1.06709,4.19343,0.576636,1.06465,4.19221
0.578465,1.06975,4.19401,0.578376,1.0673,4.19279
0.580224,1.07241,4.19458,0.580115,1.06995,4.19337
0.581981,1.07506,4.19515,0.581853,1.07259,4.19395
0.583737,1.0777,4.19572,0.583589,1.07522,4.19453
0.585492,1.08033,4.1963,0.585325,1.07785,4.19511
0.587246,1.08296,4.19687,0.587061,1.08046,4.19569
0.588998,1.08558,4.19744,0.588795,1.08308,4.19626
0.590748,1.0882,4.19801,0.590528,1.08568,4.19684
0.592498,1.0908,4.19859,0.59226,1.08828,4.19742
0.594246,1.0934,4.19916,0.593991,1.09087,4.198
0.595993,1.096,4.19973,0.595722,1.09345,4.19857
0.597738,1.09858,4.2003,0.597451,1.09603,4.19915
0.599482,1.10116,4.20088,0.59918,1.0986,4.19973
0.601225,1.10374,4.20145,0.600907,1.10116,4.2003
0.602967,1.1063,4.20202,0.602634,1.10372,4.20088
0.604707,1.10886,4.20259,0.60436,1.10627,4.20145
0.606446,1.11141,4.20317,0.606084,1.10881,4.20203
0.608184,1.11396,4.20374,0.607808,1.11135,4.2026
0.60992,1.1165,4.20431,0.609531,1.11388,4.20318
0.611656,1.11903,4.20488,0.611253,1.1164,4.20375
0.61339,1.12155,4.20545,0.612974,1.11891,4.20432
0.615122,1.12407,4.20602,0.614694,1.12142,4.2049
0.616854,1.12658,4.20659,0.616412,1.12392,4.20547
0.618584,1.12908,4.20717,0.61813,1.12641,4.20604
0.620313,1.13158,4.20774,0.619847,1.1289,4.20662
0.622041,1.13407,4.20831,0.621563,1.13138,4.20719
0.623767,1.13655,4.20888,0.623278,1.13385,4.20776
0.625492,1.13902,4.20945,0.624992,1.13631,4.20833
0.627216,1.14149,4.21002,0.626705,1.13877,4.2089
0.628939,1.14395,4.21059,0.628418,1.14122,4.20947
0.630661,1.1464,4.21116,0.630129,1.14366,4.21004
0.632381,1.14884,4.21173,0.631839,1.1461,4.21061
0.6341,1.15128,4.2123,0.633548,1.14853,4.21118
0.635818,1.15371,4.21286,0.635256,1.15095,4.21175
0.637535,1.15613,4.21343,0.636963,1.15336,4.21232
0.63925,1.15855,4.214,0.638669,1.15577,4.21289
0.640965,1.16096,4.21457,0.640374,1.15817,4.21346
0.642678,1.16336,4.21514,0.642078,1.16056,4.21403
0.64439,1.16575,4.21571,0.643781,1.16295,4.21459
0.6461,1.16814,4.21627,0.645483,1.16532,4.21516
0.64781,1.17052,4.21684,0.647184,1.16769,4.21573
0.649518,1.17289,4.21741,0.648884,1.17006,4.21629
0.651225,1.17525,4.21797,0.650583,1.17241,4.21686
0.652931,1.17761,4.21854,0.652281,1.17476,4.21743
0.654635,1.17996,4.21911,0.653978,1.1771,4.21799
