x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3
0.309937,0.711069,2.48265,0.0546516,0.109231,2.51822,0,0,0,0
0.309937,0.711069,2.48265,0.0565353,0.11299,2.51885,0,0,0,0
0.310924,0.728328,2.47741,0.0584188,0.116749,2.51947,0,0,0,0
0.310924,0.728328,2.47741,0.0603023,0.120507,2.5201,0,0,0,0
0.310924,0.728328,2.47741,0.0621857,0.124264,2.52073,0,0,0,0
0.311448,0.752035,2.46962,0.064069,0.128021,2.52136,0,0,0,0
0.311448,0.752035,2.46962,0.0659522,0.131777,2.52198,0,0,0,0
0.311112,0.773744,2.46074,0.0678353,0.135532,2.52261,0,0,0,0
0.311112,0.773744,2.46074,0.0697182,0.139286,2.52324,0,0,0,0
0.311112,0.773744,2.46074,0.0716011,0.143039,2.52387,0,0,0,0
0.3105,0.78735,2.45373,0.0734838,0.146791,2.52449,0,0,0,0
0.308908,0.806675,2.44156,0.0753665,0.150543,2.52512,0,0,0,0
0.308908,0.806675,2.44156,0.077249,0.154293,2.52575,0,0,0,0
0.307554,0.818726,2.43223,0.0791314,0.158042,2.52638,0,0,0,0
0.307554,0.818726,2.43223,0.0810136,0.161791,2.527,0,0,0,0
0.305905,0.830432,2.42185,0.0828958,0.165538,2.52763,0,0,0,0
0.305905,0.830432,2.42185,0.0847778,0.169285,2.52826,0,0,0,0
0.305905,0.830432,2.42185,0.0866597,0.17303,2.52889,0,0,0,0
0.303004,0.84684,2.40464,0.0885414,0.176774,2.52951,0,0,0,0
0.303004,0.84684,2.40464,0.090423,0.180517,2.53014,0,0,0,0
0.300776,0.857048,2.39224,0.0923045,0.184259,2.53077,0,0,0,0
0.300776,0.857048,2.39224,0.0941858,0.188,2.5314,0,0,0,0
0.300776,0.857048,2.39224,0.0960669,0.191739,2.53202,0,0,0,0
0.297025,0.871223,2.37244,0.097948,0.195478,2.53265,0,0,0,0
0.297025,0.871223,2.37244,0.0998288,0.199215,2.53328,0,0,0,0
