x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3
0.043588,0.136957,2.23818,0.216016,0.427529,2.57201,0,0,0,0
0.043588,0.136957,2.23818,0.217881,0.431141,2.57263,0,0,0,0
0.0485527,0.151384,2.24022,0.219746,0.434751,2.57325,0,0,0,0
0.0485527,0.151384,2.24022,0.221611,0.438357,2.57387,0,0,0,0
0.0485527,0.151384,2.24022,0.223475,0.441961,2.57449,0,0,0,0
0.0485527,0.151384,2.24022,0.225338,0.445562,2.57511,0,0,0,0
0.0519337,0.161442,2.24168,0.227202,0.449161,2.57573,0,0,0,0
0.0519337,0.161442,2.24168,0.229065,0.452756,2.57635,0,0,0,0
0.0571096,0.177185,2.24403,0.230927,0.456349,2.57698,0,0,0,0
0.0571096,0.177185,2.24403,0.23279,0.459939,2.5776,0,0,0,0
0.0571096,0.177185,2.24403,0.234652,0.463526,2.57822,0,0,0,0
0.0606081,0.188232,2.24576,0.236513,0.467109,2.57884,0,0,0,0
0.0606081,0.188232,2.24576,0.238374,0.47069,2.57946,0,0,0,0
0.0659555,0.205447,2.24869,0.240235,0.474268,2.58008,0,0,0,0
0.0659555,0.205447,2.24869,0.242096,0.477843,2.5807,0,0,0,0
0.0659555,0.205447,2.24869,0.243956,0.481415,2.58132,0,0,0,0
0.0714127,0.223493,2.25202,0.245815,0.484984,2.58194,0,0,0,0
0.0714127,0.223493,2.25202,0.247675,0.48855,2.58256,0,0,0,0
0.075102,0.236031,2.25429,0.249534,0.492113,2.58318,0,0,0,0
0.075102,0.236031,2.25429,0.251392,0.495673,2.5838,0,0,0,0
0.075102,0.236031,2.25429,0.25325,0.499229,2.58442,0,0,0,0
0.0788387,0.248826,2.25655,0.255108,0.502783,2.58504,0,0,0,0
0.0788387,0.248826,2.25655,0.256965,0.506333,2.58565,0,0,0,0
0.0844754,0.268707,2.25985,0.258822,0.50988,2.58627,0,0,0,0
0.0844754,0.268707,2.25985,0.260678,0.513424,2.58689,0,0,0,0
0.0844754,0.268707,2.25985,0.262535,0.516964,2.58751,0,0,0,0
0.0901825,0.28927,2.26311,0.26439,0.520502,2.58813,0,0,0,0
0.0901825,0.28927,2.26311,0.266245,0.524036,2.58875,0,0,0,0
0.0901825,0.28927,2.26311,0.2681,0.527566,2.58937,0,0,0,0
0.0940258,0.303314,2.2652,0.269955,0.531094,2.58998,0,0,0,0
0.0940258,0.303314,2.2652,0.271809,0.534618,2.5906,0,0,0,0
0.0978718,0.317699,2.26723,0.273662,0.538138,2.59122,0,0,0,0
0.0978718,0.317699,2.26723,0.275515,0.541656,2.59184,0,0,0,0
0.0978718,0.317699,2.26723,0.277368,0.54517,2.59246,0,0,0,0
0.103669,0.339729,2.27013,0.27922,0.54868,2.59307,0,0,0,0
0.103669,0.339729,2.27013,0.281072,0.552187,2.59369,0,0,0,0
0.107529,0.354741,2.27187,0.282923,0.55569,2.59431,0,0,0,0
0.107529,0.354741,2.27187,0.284774,0.55919,2.59492,0,0,0,0
0.107529,0.354741,2.27187,0.286625,0.562687,2.59554,0,0,0,0
0.113324,0.377641,2.27408,0.288475,0.566179,2.59616,0,0,0,0
0.113324,0.377641,2.27408,0.290324,0.569669,2.59677,0,0,0,0
0.113324,0.377641,2.27408,0.292173,0.573154,2.59739,0,0,0,0
0.117166,0.393197,2.27544,0.294022,0.576636,2.59801,0,0,0,0
0.117166,0.393197,2.27544,0.29587,0.580115,2.59862,0,0,0,0
0.122895,0.416941,2.27741,0.297718,0.583589,2.59924,0,0,0,0
0.122895,0.416941,2.27741,0.299565,0.58706,2.59985,0,0,0,0
0.122895,0.416941,2.27741,0.301412,0.590528,2.60047,0,0,0,0
0.126714,0.432993,2.27869,0.303258,0.593991,2.60109,0,0,0,0
0.126714,0.432993,2.27869,0.305104,0.597451,2.6017,0,0,0,0
0.126714,0.432993,2.27869,0.306949,0.600907,2.60232,0,0,0,0
0.132406,0.457401,2.28052,0.308794,0.60436,2.60293,0,0,0,0
0.132406,0.457401,2.28052,0.310638,0.607808,2.60355,0,0,0,0
0.138088,0.48211,2.28233,0.312482,0.611253,2.60416,0,0,0,0
0.138088,0.48211,2.28233,0.314325,0.614694,2.60478,0,0,0,0
0.138088,0.48211,2.28233,0.316168,0.61813,2.60539,0,0,0,0
0.141883,0.498722,2.28357,0.318011,0.621563,2.606,0,0,0,0
0.141883,0.498722,2.28357,0.319853,0.624992,2.60662,0,0,0,0
0.145663,0.515436,2.28484,0.321694,0.628418,2.60723,0,0,0,0
0.145663,0.515436,2.28484,0.323535,0.631839,2.60784,0,0,0,0
0.145663,0.515436,2.28484,0.325375,0.635256,2.60846,0,0,0,0
0.151351,0.540647,2.28686,0.327215,0.638669,2.60907,0,0,0,0
0.151351,0.540647,2.28686,0.329054,0.642078,2.60968,0,0,0,0
0.151351,0.540647,2.28686,0.330893,0.645483,2.6103,0,0,0,0
0.157042,0.565991,2.28904,0.332731,0.648884,2.61091,0,0,0,0
0.157042,0.565991,2.28904,0.334569,0.652281,2.61152,0,0,0,0
0.160851,0.582932,2.29062,0.336406,0.655674,2.61214,0,0,0,0
