x,y,z,gx,gy,gz
0.518901,0.460828,4.23063,0.318011,0.621563,4.106
0.507814,0.48155,4.2348,0.319853,0.624992,4.10662
0.496902,0.502014,4.23891,0.321694,0.628418,4.10723
0.486168,0.522216,4.24296,0.323535,0.631839,4.10784
0.475612,0.542153,4.24696,0.325375,0.635256,4.10846
0.465236,0.56182,4.25089,0.327215,0.638669,4.10907
0.455043,0.581215,4.25477,0.329054,0.642078,4.10968
0.445032,0.600335,4.25859,0.330893,0.645483,4.1103
0.435207,0.619175,4.26234,0.332731,0.648884,4.11091
0.425567,0.637734,4.26603,0.334569,0.652281,4.11152
0.416114,0.65601,4.26965,0.336406,0.655674,4.11214
0.406849,0.673998,4.27321,0.338243,0.659062,4.11275
0.397774,0.691698,4.27671,0.340079,0.662447,4.11336
0.388888,0.709107,4.28014,0.341915,0.665827,4.11397
0.380192,0.726224,4.2835,0.34375,0.669203,4.11458
0.371688,0.743046,4.2868,0.345584,0.672575,4.11519
0.363375,0.759573,4.29002,0.347418,0.675942,4.11581
0.355254,0.775802,4.29318,0.349252,0.679306,4.11642
0.347326,0.791733,4.29626,0.351084,0.682665,4.11703
0.33959,0.807364,4.29928,0.352917,0.686019,4.11764
0.332047,0.822696,4.30222,0.354748,0.68937,4.11825
0.324698,0.837727,4.30509,0.35658,0.692716,4.11886
0.317541,0.852457,4.30789,0.35841,0.696057,4.11947
0.310577,0.866886,4.31061,0.36024,0.699395,4.12008
0.303806,0.881014,4.31326,0.36207,0.702728,4.12069
0.297227,0.89484,4.31584,0.363899,0.706056,4.1213
0.29084,0.908365,4.31834,0.365727,0.70938,4.12191
0.284645,0.92159,4.32077,0.367555,0.712699,4.12252
0.278642,0.934514,4.32312,0.369382,0.716014,4.12313
0.272829,0.947139,4.32539,0.371209,0.719325,4.12374
0.267207,0.959466,4.32759,0.373035,0.722631,4.12434
0.261774,0.971495,4.32971,0.37486,0.725932,4.12495
0.25653,0.983228,4.33176,0.376685,0.729229,4.12556
0.251473,0.994665,4.33372,0.378509,0.732521,4.12617
0.246604,1.00581,4.33562,0.380333,0.735808,4.12678
0.241921,1.01666,4.33743,0.382156,0.739091,4.12739
0.237424,1.02722,4.33917,0.383979,0.742369,4.12799
0.23311,1.0375,4.34083,0.3858,0.745643,4.1286
0.22898,1.04748,4.34241,0.387622,0.748911,4.12921
0.225032,1.05718,4.34392,0.389442,0.752176,4.12981
0.221264,1.0666,4.34535,0.391262,0.755435,4.13042
0.217676,1.07574,4.34671,0.393082,0.758689,4.13103
0.214266,1.0846,4.34799,0.3949,0.761939,4.13163
0.211033,1.09318,4.34919,0.396719,0.765184,4.13224
0.207975,1.1015,4.35032,0.398536,0.768424,4.13285
0.205092,1.10954,4.35137,0.400353,0.771659,4.13345
0.202381,1.11731,4.35235,0.402169,0.77489,4.13406
0.199841,1.12482,4.35325,0.403985,0.778115,4.13466
0.19747,1.13207,4.35408,0.4058,0.781336,4.13527
0.195267,1.13905,4.35484,0.407614,0.784551,4.13587
0.193231,1.14578,4.35552,0.409428,0.787762,4.13648
